node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8201,5747,11973460,172410,0,27288360,0,0,0,8201,5747,0,0,0,0,0,0,0,0,0,0
2,19171,14263,19771450,12155320,0,25700823837447,309,0,5747,13424,6062,8201,0,0,0,0,0,0,0,0,1460000
3,4559,3741,5792420,4485170,0,25708489747287,78,0,604,3955,683,3058,0,0,0,0,0,0,0,0,877460
4,10159,6069,12396850,6126580,0,25716252308195,204,0,1703,8456,1912,4157,0,0,0,0,0,0,0,0,1460000
5,3593,3593,4463570,4399220,0,25723942471603,45,0,547,3046,592,3001,0,0,0,0,0,0,0,0,794240
6,4902,4084,6061540,4727120,0,25721499424581,97,0,766,4136,864,3220,0,0,0,0,0,0,0,0,1113980
7,5088,4270,6164360,4901440,0,25716260793969,46,0,884,4204,932,3338,0,0,0,0,0,0,0,0,1286260
8,5017,4199,6127910,4832100,0,25723953870320,70,0,837,4180,908,3291,0,0,0,0,0,0,0,0,1217640
9,10819,5911,13502020,5980270,0,25716253729297,243,0,1604,9215,1853,4058,0,0,0,0,0,0,0,0,1460000
10,18408,11046,21169980,9546300,0,25708547207075,603,0,3990,14418,4602,6444,0,0,0,0,0,0,0,0,1460000
11,8026,5572,9618720,5775620,0,25708541855648,179,0,1468,6558,1650,3922,0,0,0,0,0,0,0,0,1460000
12,129,934,3870,1363640,0,8764693556392,0,8,129,0,0,934,0,0,0,0,0,0,0,0,0
13,207,1012,6210,1477520,0,8360470183814,0,7,207,0,0,1012,0,0,0,0,0,0,0,0,0
14,193,998,5790,1457080,0,8315991574050,0,10,193,0,0,998,0,0,0,0,0,0,0,0,0
15,163,969,4890,1414740,0,8734050155920,0,11,163,0,0,969,0,0,0,0,0,0,0,0,0
16,208,1014,6240,1480440,0,8388006146555,0,7,208,0,0,1014,0,0,0,0,0,0,0,0,0
17,256,1063,7680,1551980,0,8352706628974,0,9,256,0,0,1063,0,0,0,0,0,0,0,0,0
18,203,1012,6090,1477520,0,8780453828459,0,8,203,0,0,1012,0,0,0,0,0,0,0,0,0
19,169,972,5070,1419120,0,8328503980483,0,9,169,0,0,972,0,0,0,0,0,0,0,0,0
20,247,1056,7410,1541760,0,8408867005723,0,3,247,0,0,1056,0,0,0,0,0,0,0,0,0
21,233,1039,6990,1516940,0,8751688908748,0,7,233,0,0,1039,0,0,0,0,0,0,0,0,0
22,167,973,5010,1420580,0,8354691781888,0,9,167,0,0,973,0,0,0,0,0,0,0,0,0
23,200,1008,6000,1471680,0,8378828870238,0,6,200,0,0,1008,0,0,0,0,0,0,0,0,0
24,196,1002,5880,1462920,0,8790869251990,0,7,196,0,0,1002,0,0,0,0,0,0,0,0,0
25,206,1016,6180,1483360,0,8376309856208,0,7,206,0,0,1016,0,0,0,0,0,0,0,0,0
26,227,1041,6810,1519860,0,8412523624964,0,3,227,0,0,1041,0,0,0,0,0,0,0,0,0
27,245,1043,7350,1522780,0,8729244403700,0,12,245,0,0,1043,0,0,0,0,0,0,0,0,0
28,299,1110,8970,1620600,0,8403465839279,0,5,299,0,0,1110,0,0,0,0,0,0,0,0,0
29,232,1039,6960,1516940,0,8340941936494,0,9,232,0,0,1039,0,0,0,0,0,0,0,0,0
30,242,1044,7260,1524240,0,8725011564038,0,13,242,0,0,1044,0,0,0,0,0,0,0,0,0
31,161,971,4830,1417660,0,8367248655972,0,6,161,0,0,971,0,0,0,0,0,0,0,0,0
32,238,1042,7140,1521320,0,8344592644316,0,9,238,0,0,1042,0,0,0,0,0,0,0,0,0
33,251,1057,7530,1543220,0,8773930091334,0,7,251,0,0,1057,0,0,0,0,0,0,0,0,0
34,203,1000,6090,1460000,0,8267491035190,0,14,203,0,0,1000,0,0,0,0,0,0,0,0,0
35,224,1027,6720,1499420,0,8314775934034,0,11,224,0,0,1027,0,0,0,0,0,0,0,0,0
36,161,963,4830,1405980,0,8778354570179,0,8,161,0,0,963,0,0,0,0,0,0,0,0,0
37,259,1062,7770,1550520,0,8319208030903,0,10,259,0,0,1062,0,0,0,0,0,0,0,0,0
38,196,1002,5880,1462920,0,8364696427802,0,7,196,0,0,1002,0,0,0,0,0,0,0,0,0
39,197,995,5910,1452700,0,8686971412293,0,15,197,0,0,995,0,0,0,0,0,0,0,0,0
40,276,1078,8280,1573880,0,8326419326231,0,12,276,0,0,1078,0,0,0,0,0,0,0,0,0
41,230,1031,6900,1505260,0,8303475305308,0,11,230,0,0,1031,0,0,0,0,0,0,0,0,0
42,273,1070,8190,1562200,0,8723674271805,0,13,273,0,0,1070,0,0,0,0,0,0,0,0,0
43,273,1076,8190,1570960,0,8343699187730,0,9,273,0,0,1076,0,0,0,0,0,0,0,0,0
44,217,1023,6510,1493580,0,8377683068859,0,5,217,0,0,1023,0,0,0,0,0,0,0,0,0
45,196,1006,5880,1468760,0,8786295145530,0,6,196,0,0,1006,0,0,0,0,0,0,0,0,0
46,188,994,5640,1451240,0,8347810810972,0,9,188,0,0,994,0,0,0,0,0,0,0,0,0
47,163,968,4890,1413280,0,8344984757276,0,10,163,0,0,968,0,0,0,0,0,0,0,0,0
total ,105671,105205,117274120,116698150,0,562613222307433,1874,312,25878,79793,25805,79400,0,0,0,0,0,0,0,0
