node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,9078,9165,13253880,274950,0,26196852957,0,0,0,9078,9165,0,0,0,0,0,0,0,0,0,0
2,23467,23624,21154440,13690260,0,3096964311439,304,0,9166,14301,14546,9078,0,0,0,0,0,0,0,0,1460000
3,7657,7684,6260020,5041040,0,3146417634763,9,0,3440,4217,4320,3364,0,0,0,0,0,0,0,0,1460000
4,13113,13222,12775760,6660060,0,3263574796918,130,0,4454,8659,8842,4380,0,0,0,0,0,0,0,0,1460000
5,6176,6176,4579670,4516750,0,3137303262463,17,0,3103,3073,3147,3029,0,0,0,0,0,0,0,0,1460000
6,7519,7546,6195820,4912490,0,3183349190662,46,0,3344,4175,4269,3277,0,0,0,0,0,0,0,0,1460000
7,7394,7417,6100550,4819960,0,3180130818696,46,0,3283,4111,4202,3215,0,0,0,0,0,0,0,0,1460000
8,7568,7589,6221600,4949530,0,3174133434689,44,0,3376,4192,4287,3302,0,0,0,0,0,0,0,0,1460000
9,13503,13640,13649750,6359430,0,3295175586216,131,0,4241,9262,9479,4161,0,0,0,0,0,0,0,0,1460000
10,21691,21903,21628830,10569850,0,3242135146711,307,0,7021,14670,14971,6932,0,0,0,0,0,0,0,0,1460000
11,10577,10632,9600870,6046110,0,3123788533983,29,0,4085,6492,6627,4005,0,0,0,0,0,0,0,0,1460000
12,1105,1056,33150,1541760,0,1037153103105,0,0,1105,0,0,1056,0,0,0,0,0,0,0,0,0
13,1035,989,31050,1443940,0,1009626029152,0,0,1035,0,0,989,0,0,0,0,0,0,0,0,0
14,1129,1084,33870,1582640,0,1008810484245,0,0,1129,0,0,1084,0,0,0,0,0,0,0,0,0
15,1098,1052,32940,1535920,0,1032076874382,0,0,1098,0,0,1052,0,0,0,0,0,0,0,0,0
16,1119,1073,33570,1566580,0,1017404834468,0,0,1119,0,0,1073,0,0,0,0,0,0,0,0,0
17,1194,1138,35820,1661480,0,1018265631021,0,0,1194,0,0,1138,0,0,0,0,0,0,0,0,0
18,1069,1027,32070,1499420,0,1039232117511,0,0,1069,0,0,1027,0,0,0,0,0,0,0,0,0
19,1091,1047,32730,1528620,0,1015328505358,0,0,1091,0,0,1047,0,0,0,0,0,0,0,0,0
20,1053,1011,31590,1476060,0,1017174695238,0,0,1053,0,0,1011,0,0,0,0,0,0,0,0,0
21,1096,1050,32880,1533000,0,1040090549174,0,0,1096,0,0,1050,0,0,0,0,0,0,0,0,0
22,1093,1046,32790,1527160,0,1014061930759,0,0,1093,0,0,1046,0,0,0,0,0,0,0,0,0
23,991,952,29730,1389920,0,1011715076514,0,0,991,0,0,952,0,0,0,0,0,0,0,0,0
24,1125,1078,33750,1573880,0,1040180312078,0,0,1125,0,0,1078,0,0,0,0,0,0,0,0,0
25,1089,1046,32670,1527160,0,1013678143772,0,0,1089,0,0,1046,0,0,0,0,0,0,0,0,0
26,1032,984,30960,1436640,0,1026787282385,0,0,1032,0,0,984,0,0,0,0,0,0,0,0,0
27,1068,1024,32040,1495040,0,1039743685757,0,0,1068,0,0,1024,0,0,0,0,0,0,0,0,0
28,1001,961,30030,1403060,0,1016895334279,0,0,1001,0,0,961,0,0,0,0,0,0,0,0,0
29,1143,1097,34290,1601620,0,1011213754508,0,0,1143,0,0,1097,0,0,0,0,0,0,0,0,0
30,1088,1042,32640,1521320,0,1044617145489,0,0,1088,0,0,1042,0,0,0,0,0,0,0,0,0
31,1017,971,30510,1417660,0,1010844121760,0,0,1017,0,0,971,0,0,0,0,0,0,0,0,0
32,1014,974,30420,1422040,0,1019250674112,0,0,1014,0,0,974,0,0,0,0,0,0,0,0,0
33,1129,1085,33870,1584100,0,1039733824485,0,0,1129,0,0,1085,0,0,0,0,0,0,0,0,0
34,1111,1067,33330,1557820,0,1016506104179,0,0,1111,0,0,1067,0,0,0,0,0,0,0,0,0
35,1077,1031,32310,1505260,0,1013467465547,0,0,1077,0,0,1031,0,0,0,0,0,0,0,0,0
36,1061,1017,31830,1484820,0,1040590050112,0,0,1061,0,0,1017,0,0,0,0,0,0,0,0,0
37,1066,1019,31980,1487740,0,1012467894537,0,0,1066,0,0,1019,0,0,0,0,0,0,0,0,0
38,1092,1049,32760,1531540,0,1014851344863,0,0,1092,0,0,1049,0,0,0,0,0,0,0,0,0
39,1000,955,30000,1394300,0,1037129746258,0,0,1000,0,0,955,0,0,0,0,0,0,0,0,0
40,1111,1065,33330,1554900,0,1021230085334,0,0,1111,0,0,1065,0,0,0,0,0,0,0,0,0
41,1106,1057,33180,1543220,0,1008336440206,0,0,1106,0,0,1057,0,0,0,0,0,0,0,0,0
42,1052,1010,31560,1474600,0,1035224872466,0,0,1052,0,0,1010,0,0,0,0,0,0,0,0,0
43,1101,1058,33030,1544680,0,1011553973483,0,0,1101,0,0,1058,0,0,0,0,0,0,0,0,0
44,1103,1055,33090,1540300,0,1010528146445,0,0,1103,0,0,1055,0,0,0,0,0,0,0,0,0
45,1036,993,31080,1449780,0,1030533386834,0,0,1036,0,0,993,0,0,0,0,0,0,0,0,0
46,1012,968,30360,1413280,0,1007466314921,0,0,1012,0,0,968,0,0,0,0,0,0,0,0,0
47,1025,979,30750,1429340,0,1013703571776,0,0,1025,0,0,979,0,0,0,0,0,0,0,0,0
total ,166475,165708,122583150,122021030,0,68666643076010,1063,0,84245,82230,83855,81853,0,0,0,0,0,0,0,0
