node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
3959101087,      14960800,      20002,      112,  0
4004385314,      14960800,      20002,      113,  0
4038093019,      14960800,      20002,      114,  0
4093891560,      14960800,      20002,      115,  0
4121285884,      14960800,      20002,      116,  0
4153266345,      14960800,      20002,      117,  0
4181062079,      14960800,      20002,      118,  0
4231671205,      14960800,      20002,      119,  0
4274909442,      14960800,      20002,      120,  0
4309105483,      14960800,      20002,      121,  0
4354054199,      14960800,      20002,      122,  0
4394785761,      14960800,      20002,      123,  0
4425807081,      14960800,      20002,      124,  0
4468973394,      14960800,      20002,      125,  0
4496870647,      14960800,      20002,      126,  0
4537008072,      14960800,      20002,      127,  0
4582827747,      14960800,      20002,      128,  0
4629101030,      14960800,      20002,      129,  0
4685449680,      16604332,      20002,      130,  0
4726769000,      15729403,      20002,      131,  0
4762572080,      14976841,      20002,      132,  0
4792534360,      21088704,      20002,      133,  0
4833041720,      17860308,      20002,      134,  0
4847029880,      14969671,      20002,      135,  0
4888620320,      17937131,      20002,      136,  0
4928465512,      14960800,      20002,      137,  0
4976410080,      14981523,      20002,      138,  0
5003470234,      14960800,      20002,      139,  0
5061139682,      14960800,      20002,      140,  0
5111475395,      14960800,      20002,      141,  0
5131948147,      14960800,      20002,      142,  0
5188415665,      14960800,      20002,      143,  0
5235830458,      14960800,      20002,      144,  0
5253170266,      14960800,      20002,      145,  0
5282782894,      14960800,      20002,      146,  0
5338522249,      14960800,      20002,      147,  0
5390471016,      14960800,      20002,      148,  0
5439230663,      14960800,      20002,      149,  0
5464799979,      14960800,      20002,      150,  0
5518978497,      14960800,      20002,      151,  0
5553931781,      14960800,      20002,      152,  0
5573215776,      14960800,      20002,      153,  0
5625288905,      14960800,      20002,      154,  0
5658631200,      14960800,      20002,      155,  0
5693483263,      14960800,      20002,      156,  0
5713592543,      14960800,      20002,      157,  0
5759263692,      14960800,      20002,      158,  0
5799120936,      14960800,      20002,      159,  0
5849958537,      14960800,      20002,      160,  0
5869964391,      14960800,      20002,      161,  0
5904935501,      14960800,      20002,      162,  0
5923074001,      14960800,      20002,      163,  0
5949928984,      14960800,      20002,      164,  0
6004053387,      14960800,      20002,      165,  0
