1752,7644,308
1838,7340,299
1873,8197,318
1420,7186,293
1941,7536,304
1524,7368,295
1577,8138,319
1874,7538,312
1784,7368,291
1703,7424,313
2085,7700,314
1742,7234,311
1665,7650,308
1881,7170,293
2138,7371,312
1958,7566,322
2070,7349,308
2181,7748,306
1885,7805,319
2159,7329,312
