node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
837704048,      9553720,      20001,      23,  0
852643014,      9553720,      20001,      24,  0
888897516,      9553720,      20001,      25,  0
909557746,      9553720,      20001,      26,  0
962829413,      9553720,      20001,      27,  0
977507497,      9553720,      20001,      28,  0
1010571322,      9553720,      20001,      29,  0
1033383761,      9553720,      20001,      30,  0
1087214922,      9553720,      20001,      31,  0
1111353545,      9553720,      20001,      32,  0
1140563214,      9553720,      20001,      33,  0
1177092800,      10457654,      20001,      34,  0
1217678000,      14526202,      20001,      35,  0
1245809720,      10531494,      20001,      36,  0
1300013360,      9567701,      20001,      37,  0
1324961566,      9553720,      20001,      38,  0
1366541376,      9553720,      20001,      39,  0
1410476720,      9672180,      20001,      40,  0
1446511720,      13465497,      20001,      41,  0
1495974120,      12507622,      20001,      42,  0
1515397610,      9553720,      20001,      43,  0
1543446437,      9553720,      20001,      44,  0
1599812633,      9553720,      20001,      45,  0
1642201877,      9553720,      20001,      46,  0
1674418116,      9553720,      20001,      47,  0
1704713077,      9553720,      20001,      48,  0
1748359766,      9553720,      20001,      49,  0
1782581729,      9553720,      20001,      50,  0
1838657519,      9553720,      20001,      51,  0
1857236194,      9553720,      20001,      52,  0
1898867479,      9553720,      20001,      53,  0
1939495026,      9553720,      20001,      54,  0
1987897044,      9553720,      20001,      55,  0
2020462452,      9553720,      20001,      56,  0
2040903998,      9553720,      20001,      57,  0
2078581050,      9553720,      20001,      58,  0
2098185093,      9553720,      20001,      59,  0
2114691333,      9559803,      20001,      60,  0
2149512396,      9553720,      20001,      61,  0
2207199993,      9553720,      20001,      62,  0
2250857264,      9553720,      20001,      63,  0
2297566559,      9553720,      20001,      64,  0
2322989731,      9553720,      20001,      65,  0
2361977033,      9553720,      20001,      66,  0
2380776684,      9553720,      20001,      67,  0
2398318871,      9553720,      20001,      68,  0
2417665713,      9553720,      20001,      69,  0
2432827745,      9553720,      20001,      70,  0
2446961912,      9553720,      20001,      71,  0
2466874473,      9553720,      20001,      72,  0
2515827597,      9553720,      20001,      73,  0
2558182250,      9553720,      20001,      74,  0
2599737743,      9553720,      20001,      75,  0
2615785150,      9553720,      20001,      76,  0
2651769364,      9553720,      20001,      77,  0
2666715390,      9553720,      20001,      78,  0
2699952954,      9553720,      20001,      79,  0
2738418400,      9553720,      20001,      80,  0
2752524981,      9553720,      20001,      81,  0
2810791560,      9420600,      20001,      82,  0
2864183407,      9553720,      20001,      83,  0
2922480576,      9553720,      20001,      84,  0
2974832198,      9553720,      20001,      85,  0
2986706628,      9553720,      20001,      86,  0
3026133270,      9553720,      20001,      87,  0
3045434773,      9553720,      20001,      88,  0
3099771379,      9553720,      20001,      89,  0
3128228314,      9553720,      20001,      90,  0
3166979283,      9553720,      20001,      91,  0
3210774023,      9553720,      20001,      92,  0
3247253372,      9553720,      20001,      93,  0
3273150041,      9553720,      20001,      94,  0
3311786131,      9553720,      20001,      95,  0
3422347549,      9553720,      20001,      98,  0
3474826786,      9553720,      20001,      99,  0
3532265948,      9553720,      20001,      100,  0
3586151223,      9553720,      20001,      101,  0
3628987872,      9553720,      20001,      102,  0
3648328457,      9553720,      20001,      103,  0
3701540142,      9553720,      20001,      104,  0
3743574452,      9553720,      20001,      105,  0
3784663743,      9553720,      20001,      106,  0
3829076707,      9553720,      20001,      107,  0
3856117170,      9553720,      20001,      108,  0
3871261970,      9553720,      20001,      109,  0
3893391197,      9553720,      20001,      110,  0
3928930445,      9553720,      20001,      111,  0
3953694007,      9553720,      20001,      112,  0
3998978234,      9553720,      20001,      113,  0
4026632892,      677782831,      20001,      96,  1
4032685939,      9553720,      20001,      114,  0
4047074438,      684889513,      20001,      97,  1
4088484480,      9553720,      20001,      115,  0
4115878804,      9553720,      20001,      116,  0
4147859265,      9553720,      20001,      117,  0
4175654999,      9553720,      20001,      118,  0
4226264125,      9553720,      20001,      119,  0
4269502362,      9553720,      20001,      120,  0
4303698403,      9553720,      20001,      121,  0
4348513999,      9420600,      20001,      122,  0
4389245561,      9420600,      20001,      123,  0
4463433194,      9420600,      20001,      125,  0
4491330447,      9420600,      20001,      126,  0
4531467872,      9420600,      20001,      127,  0
4577287547,      9420600,      20001,      128,  0
4623560830,      9420600,      20001,      129,  0
4678265948,      9420600,      20001,      130,  0
4721448240,      10408643,      20001,      131,  0
4757033720,      9438481,      20001,      132,  0
4784169720,      12724064,      20001,      133,  0
4824622080,      9440668,      20001,      134,  0
4841480809,      9420600,      20001,      135,  0
4880103789,      9420600,      20001,      136,  0
4923022960,      9518248,      20001,      137,  0
4928651016,      517804735,      20001,      124,  1
4970873960,      9445403,      20001,      138,  0
5000205160,      11695726,      20001,      139,  0
5055599482,      9420600,      20001,      140,  0
5105935195,      9420600,      20001,      141,  0
5126407947,      9420600,      20001,      142,  0
5183141705,      9686840,      20001,      143,  0
5230556498,      9686840,      20001,      144,  0
5247896306,      9686840,      20001,      145,  0
5277508934,      9686840,      20001,      146,  0
5333248289,      9686840,      20001,      147,  0
5385197056,      9686840,      20001,      148,  0
5433956703,      9686840,      20001,      149,  0
5459526019,      9686840,      20001,      150,  0
5513704537,      9686840,      20001,      151,  0
5548657821,      9686840,      20001,      152,  0
5567941816,      9686840,      20001,      153,  0
5620014945,      9686840,      20001,      154,  0
5653357240,      9686840,      20001,      155,  0
5708318583,      9686840,      20001,      157,  0
5753989732,      9686840,      20001,      158,  0
5793846976,      9686840,      20001,      159,  0
5844684577,      9686840,      20001,      160,  0
5864690431,      9686840,      20001,      161,  0
5899528421,      9553720,      20001,      162,  0
5917666921,      9553720,      20001,      163,  0
5944521904,      9553720,      20001,      164,  0
5998646307,      9553720,      20001,      165,  0
6049422900,      9553720,      20001,      166,  0
6084279496,      9553720,      20001,      167,  0
6114382460,      9553720,      20001,      168,  0
6154509467,      9553720,      20001,      169,  0
6173254931,      9553720,      20001,      170,  0
6181825439,      503302976,      20001,      156,  1
6189989922,      9570040,      20001,      171,  0
6218640914,      9553720,      20001,      172,  0
6245803259,      9553720,      20001,      173,  0
6277448010,      9553720,      20001,      174,  0
6316392414,      9553720,      20001,      175,  0
6358849056,      9553720,      20001,      176,  0
6393301639,      9553720,      20001,      177,  0
6446237108,      9553720,      20001,      178,  0
6482104739,      9553720,      20001,      179,  0
6519700850,      9420600,      20001,      180,  0
6570288722,      9553720,      20001,      181,  0
6593383678,      9553720,      20001,      182,  0
6639139380,      9553720,      20001,      183,  0
6696831320,      9553720,      20001,      184,  0
6750461655,      9570040,      20001,      185,  0
6781317347,      9553720,      20001,      186,  0
6829592281,      9553720,      20001,      187,  0
6854992920,      9553720,      20001,      188,  0
6907243826,      9686840,      20001,      189,  0
6921087576,      9553720,      20001,      190,  0
6978855319,      9553720,      20001,      191,  0
7000520888,      9686840,      20001,      192,  0
7052622154,      9686840,      20001,      193,  0
7068969884,      9703160,      20001,      194,  0
7094598816,      9553720,      20001,      195,  0
7144079748,      9553720,      20001,      196,  0
7158166215,      9553720,      20001,      197,  0
7191230688,      9553720,      20001,      198,  0
7235244499,      9553720,      20001,      199,  0
7252489378,      9553720,      20001,      200,  0
7291070078,      9420600,      20001,      201,  0
7330550592,      9420600,      20001,      202,  0
7356446808,      9420600,      20001,      203,  0
7390392843,      9420600,      20001,      204,  0
7430559387,      9420600,      20001,      205,  0
7471155580,      9420600,      20001,      206,  0
7493751998,      9420600,      20001,      207,  0
7508706612,      9420600,      20001,      208,  0
7563543175,      9420600,      20001,      209,  0
7648036423,      9420600,      20001,      211,  0
7676404482,      9420600,      20001,      212,  0
7704167886,      9420600,      20001,      213,  0
7746643189,      9420600,      20001,      214,  0
7770618376,      9686840,      20001,      215,  0
7811543419,      9686840,      20001,      216,  0
7837620493,      9686840,      20001,      217,  0
7858552014,      9686840,      20001,      218,  0
7875358725,      9686840,      20001,      219,  0
7923586018,      9686840,      20001,      220,  0
7944626480,      9686840,      20001,      221,  0
7971054023,      9686840,      20001,      222,  0
7993526153,      9686840,      20001,      223,  0
8030100717,      9686840,      20001,      224,  0
8097172528,      9686840,      20001,      226,  0
8123121190,      9686840,      20001,      227,  0
8148233000,      10950667,      20001,      228,  0
8188553920,      13787365,      20001,      229,  0
8228217600,      9721763,      20001,      230,  0
8272466145,      9686840,      20001,      231,  0
8283618450,      695309293,      20001,      210,  1
8314322081,      9686840,      20001,      232,  0
8353996040,      12780916,      20001,      233,  0
8391475797,      9686840,      20001,      234,  0
8427380811,      9686840,      20001,      235,  0
8455853301,      9559480,      20001,      236,  0
8504992154,      9553720,      20001,      237,  0
8523814511,      9553720,      20001,      238,  0
8538469822,      9559480,      20001,      239,  0
8558909500,      9553720,      20001,      240,  0
8603307569,      9553720,      20001,      241,  0
8615040151,      9553720,      20001,      242,  0
8640980908,      9553720,      20001,      243,  0
8683279705,      9553720,      20001,      244,  0
8703423556,      9553720,      20001,      245,  0
8746281704,      9553720,      20001,      246,  0
8788484110,      9553720,      20001,      247,  0
8841511973,      9553720,      20001,      248,  0
8860533515,      9553720,      20001,      249,  0
8910942400,      9553720,      20001,      250,  0
8913414266,      855372207,      20001,      225,  1
8964865223,      9553720,      20001,      251,  0
8994977257,      9553720,      20001,      252,  0
9047253386,      9553720,      20001,      253,  0
9093457568,      9553720,      20001,      254,  0
9116028882,      9553720,      20001,      255,  0
9153472295,      9553720,      20001,      256,  0
9188250984,      9553720,      20001,      257,  0
9243807098,      9553720,      20001,      258,  0
9293523659,      9553720,      20001,      259,  0
9335908085,      9553720,      20001,      260,  0
9443838812,      9553720,      20001,      262,  0
9485315471,      9553720,      20001,      263,  0
9533223161,      9553720,      20001,      264,  0
9557180456,      9553720,      20001,      265,  0
9590845215,      9553720,      20001,      266,  0
9639690526,      9553720,      20001,      267,  0
9692158082,      9553720,      20001,      268,  0
9723109268,      9553720,      20001,      269,  0
9762676389,      9553720,      20001,      270,  0
9799517749,      9553720,      20001,      271,  0
9838249633,      9553720,      20001,      272,  0
9882676164,      9553720,      20001,      273,  0
9933255660,      9553720,      20001,      274,  0
9950198571,      9553720,      20001,      275,  0
9985722077,      9553720,      20001,      276,  0
10035448575,      9553720,      20001,      277,  0
10076919880,      9553720,      20001,      278,  0
10095326718,      9553720,      20001,      279,  0
10118548078,      9553720,      20001,      280,  0
10129291630,      747534272,      20001,      261,  1
10131043650,      9553720,      20001,      281,  0
10169527903,      9553720,      20001,      282,  0
10208430817,      9553720,      20001,      283,  0
10256842451,      9559480,      20001,      285,  0
10320533275,      9553720,      20001,      287,  0
10361658235,      9553720,      20001,      288,  0
10407814721,      9553720,      20001,      289,  0
10439984328,      9553720,      20001,      290,  0
10496172708,      9553720,      20001,      291,  0
10549858011,      9553720,      20001,      292,  0
10577122365,      9553720,      20001,      293,  0
10599040401,      9553720,      20001,      294,  0
10655096006,      9553720,      20001,      295,  0
10708091333,      9553720,      20001,      296,  0
10728356849,      9553720,      20001,      297,  0
10776488911,      9553720,      20001,      298,  0
10830440303,      9553720,      20001,      299,  0
10877702836,      9553720,      20001,      300,  0
10904886671,      9553720,      20001,      301,  0
10917112840,      684253418,      20001,      284,  1
10942766523,      9553720,      20001,      302,  0
10983514147,      9553720,      20001,      303,  0
11001147697,      712248124,      20001,      286,  1
11017524479,      9553720,      20001,      304,  0
11059753748,      9553720,      20001,      305,  0
11081277257,      9553720,      20001,      306,  0
11133390310,      9553720,      20001,      307,  0
11162522838,      9553720,      20001,      308,  0
11204408260,      9553720,      20001,      309,  0
11247696861,      9553720,      20001,      310,  0
11262132583,      9559480,      20001,      311,  0
11300139029,      9553720,      20001,      312,  0
11312702539,      9553720,      20001,      313,  0
11324806449,      9553720,      20001,      314,  0
11364585106,      9553720,      20001,      315,  0
11417714950,      9553720,      20001,      316,  0
11437480530,      9553720,      20001,      317,  0
11471946841,      9553720,      20001,      318,  0
11513481350,      9553720,      20001,      319,  0
11532418665,      9553720,      20001,      320,  0
11585315247,      9553720,      20001,      321,  0
11639016676,      9553720,      20001,      322,  0
11673983400,      10610805,      20001,      323,  0
11728833358,      9553720,      20001,      324,  0
11780957881,      9553720,      20001,      325,  0
11826213971,      9553720,      20001,      326,  0
11846493545,      9553720,      20001,      327,  0
11865989270,      9559480,      20001,      328,  0
11907292280,      9929924,      20001,      329,  0
11924519823,      9559480,      20001,      330,  0
11980485400,      9604737,      20001,      331,  0
11999680760,      9606380,      20001,      332,  0
12032885628,      9553720,      20001,      333,  0
12087324733,      9553720,      20001,      334,  0
12127701404,      9553720,      20001,      335,  0
12157777221,      9553720,      20001,      336,  0
12189854467,      9553720,      20001,      337,  0
12212937357,      9553720,      20001,      338,  0
12251068562,      9553720,      20001,      339,  0
12264370510,      9553720,      20001,      340,  0
12314076089,      9553720,      20001,      341,  0
12342406303,      9553720,      20001,      342,  0
12355752638,      9553720,      20001,      343,  0
12376820875,      9553720,      20001,      344,  0
12421194931,      9553720,      20001,      345,  0
12474425057,      9553720,      20001,      346,  0
12502059113,      9553720,      20001,      347,  0
12549559390,      9553720,      20001,      348,  0
12593883261,      9553720,      20001,      349,  0
12647806883,      9553720,      20001,      350,  0
12694642688,      9553720,      20001,      351,  0
12744136486,      9553720,      20001,      352,  0
12783433173,      9553720,      20001,      353,  0
12799853111,      9553720,      20001,      354,  0
12822939734,      9553720,      20001,      355,  0
12862143355,      9553720,      20001,      356,  0
12915383279,      9553720,      20001,      357,  0
12929680635,      9553720,      20001,      358,  0
12963274651,      9553720,      20001,      359,  0
13002379814,      9553720,      20001,      360,  0
13041371633,      9553720,      20001,      361,  0
13091154082,      9553720,      20001,      362,  0
13127433215,      9553720,      20001,      363,  0
13173190675,      9553720,      20001,      364,  0
13197212785,      9553720,      20001,      365,  0
13234036333,      9553720,      20001,      366,  0
13289236856,      9553720,      20001,      367,  0
