node->nodeId,packet_send,packet_recv,packetSize_send,packetSize_recv,sendToRecv_delay,generateToRecv_delay,cache_hitTimes,packet_lostTimes,interestPacket_send,dataPacket_send,interestPacket_recv,dataPacket_recv,distRequestPacket_send,distAnswerPacket_send,distRequestPacket_recv,distAnswerPacket_recv,fakeInterest_send,fakeData_send,fakeInterest_recv,fakeData_recv,cs_size
1,8699,8781,12700540,263430,0,28277648147,0,0,0,8699,8781,0,0,0,0,0,0,0,0,0,0
2,22708,22851,20595420,13125100,0,3116828015945,307,0,8782,13926,14152,8699,0,0,0,0,0,0,0,0,1460000
3,7498,7524,6176600,4896100,0,3176142366047,33,0,3336,4162,4258,3266,0,0,0,0,0,0,0,0,1460000
4,12436,12558,12266390,6155370,0,3255875550192,133,0,4119,8317,8517,4041,0,0,0,0,0,0,0,0,1460000
5,6000,6000,4455700,4378480,0,3151580643390,33,0,3010,2990,3064,2936,0,0,0,0,0,0,0,0,1460000
6,7736,7753,6339610,5091730,0,3197566872168,18,0,3465,4271,4355,3398,0,0,0,0,0,0,0,0,1460000
7,7758,7781,6378880,5079700,0,3199049928111,52,0,3460,4298,4392,3389,0,0,0,0,0,0,0,0,1460000
8,7128,7149,5888080,4634600,0,3230477337841,19,0,3160,3968,4058,3091,0,0,0,0,0,0,0,0,1460000
9,12825,12950,13148930,5846810,0,3312933956726,144,0,3899,8926,9133,3817,0,0,0,0,0,0,0,0,1460000
10,20797,21024,21001410,9872810,0,3254785389346,354,0,6547,14250,14561,6463,0,0,0,0,0,0,0,0,1460000
11,11056,11122,10037090,6335370,0,3105594892005,131,0,4269,6787,6925,4197,0,0,0,0,0,0,0,0,1460000
12,1071,1028,32130,1500880,0,1044448606896,0,0,1071,0,0,1028,0,0,0,0,0,0,0,0,0
13,1083,1038,32490,1515480,0,1003407184870,0,0,1083,0,0,1038,0,0,0,0,0,0,0,0,0
14,1078,1033,32340,1508180,0,1026083529310,0,0,1078,0,0,1033,0,0,0,0,0,0,0,0,0
15,1062,1019,31860,1487740,0,1045585206295,0,0,1062,0,0,1019,0,0,0,0,0,0,0,0,0
16,1059,1013,31770,1478980,0,1003673020884,0,0,1059,0,0,1013,0,0,0,0,0,0,0,0,0
17,1046,1000,31380,1460000,0,1023388880201,0,1,1046,0,0,1000,0,0,0,0,0,0,0,0,0
18,1068,1023,32040,1493580,0,1047035261367,0,0,1068,0,0,1023,0,0,0,0,0,0,0,0,0
19,1079,1033,32370,1508180,0,1005325024095,0,0,1079,0,0,1033,0,0,0,0,0,0,0,0,0
20,1161,1112,34830,1623520,0,1022543262567,0,1,1161,0,0,1112,0,0,0,0,0,0,0,0,0
21,963,922,28890,1346120,0,1047167333498,0,0,963,0,0,922,0,0,0,0,0,0,0,0,0
